file,module,ecosystem,total_lines,covered_lines,coverage_pct,test_exists,priority
"backend/flight-service/src/main/java/com/skybooker/flightservice/entity/Flight.java","flight-service",backend,48,48,100.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/entity/DepartureWindow.java","flight-service",backend,5,5,100.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/exception/ResourceNotFoundException.java","flight-service",backend,2,2,100.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/exception/GlobalExceptionHandler.java","flight-service",backend,25,0,0.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/exception/BadRequestException.java","flight-service",backend,2,2,100.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/dto/NotificationEvent.java","notification-service",backend,52,42,80.77,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/dto/NotificationResponse.java","notification-service",backend,37,0,0.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/config/RabbitConfig.java","notification-service",backend,20,0,0.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/config/RabbitMessagingConfig.java","notification-service",backend,6,0,0.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/config/NotificationSchemaMigration.java","notification-service",backend,18,0,0.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/messaging/NotificationEventListener.java","notification-service",backend,98,81,82.65,true,MEDIUM
"backend/notification-service/src/main/java/com/skybooker/notificationservice/NotificationServiceApplication.java","notification-service",backend,3,0,0.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/entity/NotificationChannel.java","notification-service",backend,4,4,100.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/entity/NotificationType.java","notification-service",backend,5,5,100.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/entity/Notification.java","notification-service",backend,42,0,0.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/entity/NotificationStatus.java","notification-service",backend,4,0,0.00,false,LOW
"backend/notification-service/src/main/java/com/skybooker/notificationservice/controller/NotificationController.java","notification-service",backend,16,0,0.00,false,MEDIUM
"backend/notification-service/src/main/java/com/skybooker/notificationservice/service/impl/NotificationServiceImpl.java","notification-service",backend,323,0,0.00,false,HIGH
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/service/impl/PassengerServiceImpl.java","passenger-service",backend,128,21,16.41,true,HIGH
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/controller/PassengerController.java","passenger-service",backend,17,0,0.00,false,MEDIUM
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/entity/PassengerType.java","passenger-service",backend,4,4,100.00,false,LOW
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/entity/PassengerInfo.java","passenger-service",backend,3,3,100.00,false,LOW
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/integration/BookingServiceClient.java","passenger-service",backend,10,0,0.00,false,MEDIUM
"backend/passenger-service/src/main/java/com/skybooker/passengerservice/PassengerServiceApplication.java","passenger-service",backend,4,0,0.00,false,LOW
